title,puNumber,show_start_date,type,film_studio,production_country,director,producer,age_restriction,refundable_support,nonrefundable_support,budget,financing_source,ratings,genres
"Малышка на миллион /По мотивам рассказов Ф.Х.Тула из сборника ""Клейма от канатов""/",221011415,2015-04-03T12:00:00.000Z,Художественный,"Уорнер Бразерс, Лейкшор Интертейнмент, Малпасо Продакшнз, Альберт С.Рудди Продакшнз",США,Клинт Иствуд,"Клинт Иствуд, Том Розенберг, Альберт С.Рудди, Пол Хаггис",«16+» - для детей старше 16 лет,,,,,8.1,"драма,спорт"
Преданный садовник,121003106,2013-08-26T12:00:00.000Z,Художественный,"Потбойлер Продакшнз, Эпсилон Моушн Пикчерз, Скайон Филмз Лимитед, ЮК Филм Каунсил",Германия-Великобритания,Фернанду Мейрелльеш,Саймон Чэннинг Уильямс,«16+» - для детей старше 16 лет,,,,,7.1,"триллер,драма,мелодрама"
Отель /По мотивам пьесы Джона Уэбстера/,221008812,2012-01-27T12:00:00.000Z,Художественный,"Кэтлей, Отель Продакшнс, Мунстоун Интертейнмент, Рэд Маллет Продакшнс",Великобритания - Италия,Майк Фиггис,"Этчи Стро, Анни Стюарт, Майк Фиггис",«18+» - запрещено для детей,,,,,6.0,"комедия,мелодрама"
Председатель,111014916,2016-09-13T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,А.Салтыков,,«12+» - для детей старше 12 лет,,,,,8.3,драма
Осенний марафон,111007513,2013-10-18T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Г.Данелия,,«12+» - для детей старше 12 лет,,,,,8.0,"драма,мелодрама,комедия"
Осень,111027914,2014-12-24T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,А.Смирнов,,«12+» - для детей старше 12 лет,,,,,7.4,"драма,мелодрама"
Неподдающиеся,111003616,2016-02-12T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Ю.Чулюкин,,«6+» - для детей старше 6 лет,,,,,8.0,"мелодрама,комедия"
Неподсуден,111003716,2016-02-12T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,"В.Краснопольский, В.Усков",,«6+» - для детей старше 6 лет,,,,,7.7,драма
Незабываемый 1919-й год,111003316,2016-02-12T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,М.Чиаурели,,«12+» - для детей старше 12 лет,,,,,5.8,"драма,история"
Незаконченная жизнь,121015405,2015-05-06T12:00:00.000Z,Художественный,"Инишиэл Интертейнмент Групп, Мирамакс Филмз, Персистент Интертейнмент, Революшн Студиос, Зе Лэдд Компани",США,Лассе Халлстрем,"Лесли Холлеран, Алан Лэдд мл., Келлиан Лэдд, Харви Вайнстайн",«12+» - для детей старше 12 лет,,,,,7.2,"драма,мелодрама,семейный"
"Операция ""Ы"" и другие приключения Шурика",111007413,2013-10-18T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Л.Гайдай,,«6+» - для детей старше 6 лет,,,,,8.7,"комедия,мелодрама,криминал"
Неизвестные страницы из жизни разведчика,111003416,2016-02-12T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,В.Чеботарев,,«12+» - для детей старше 12 лет,,,,,6.3,"драма,военный"
Неисправимый лгун,111003516,2016-02-12T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,В.Азаров,,«6+» - для детей старше 6 лет,,,,,7.7,комедия
Призрак замка Моррисвиль,221072614,2014-12-29T12:00:00.000Z,Художественный,Фильмове Студио Баррандов,Чехословакия,Боривой Земан,,«12+» - для детей старше 12 лет,,,,,7.7,комедия
Оружейный барон,221012515,2015-04-03T12:00:00.000Z,Художественный,"Вэ И Пэ Медиенфондс 3, Асендант Пикчерз, Сатурн Филмз, Райзинг Стар, Эндгейм Интертейнмент, Интертейнмент Мэньюфэкчуринг Компани, Рилайз Филм",США - Франция - Турция,Эндрю Никкол,"Норман Голуайтли, Энди Грош, Николас Кейдж, Эндрю Никкол, Крис Робертс, Филипп Русле",«18+» - запрещено для детей,,,,,7.7,"боевик,драма,криминал"
Отставной козы барабанщик,111024314,2014-12-24T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Г.Мыльников,,«6+» - для детей старше 6 лет,,,,,6.9,"драма,комедия"
Паршивая овца,221012815,2015-04-03T12:00:00.000Z,Художественный,"Лайв Сток Филмз, Нью Зиланд Филм Комишн",Новая Зеландия,Джонатан Кинг,Филиппа Кемпбелл,«18+» - запрещено для детей,,,,,5.0,"ужасы,фантастика,комедия"
"Плюмбум, или Опасная игра",111014116,2016-09-13T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,В.Абдрашитов,,«16+» - для детей старше 16 лет,,,,,6.9,драма
Первое свидание,111019314,2014-12-01T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,И.Бабич,,«12+» - для детей старше 12 лет,,,,,7.4,"мультфильм,короткометражка,мелодрама"
Охота на лис.,111013916,2016-09-13T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,В.Абдрашитов,,«12+» - для детей старше 12 лет,,,,,7.1,"драма,криминал"
Пиноккио 3000,224020512,2012-08-27T12:00:00.000Z,Анимационный,"Синегруп, Анимакидс-Франс 2 Синема/Кастелао Продюксьон, Филмакс",Канада - Франция - Испания,Даниэль Робишо,Луис Дюкью,«0+» - для любой зрительской аудитории,,,,,4.3,"мультфильм,фантастика,фэнтези"
Перелом,221006016,2016-02-09T12:00:00.000Z,Художественный,"Уорнер Бразерс, Нью Лайн Синема, Касл Рок Интертейнмент",США-Германия,Грегори Хоблит,Чарльз Уэйнсток,«18+» - запрещено для детей,,,,,7.7,"триллер,драма,криминал"
Мисс Поттер,221011915,2015-04-03T12:00:00.000Z,Художественный,"Феникс Пикчерз, Дэвид Киршнер Продакшнз, Айл оф Мэн Филм Коммишн, Ю Кей Филм Каунсил, Ванштейн Компани, Метро Голдвин Майер",США - Великобритания,Крис Нунан,"Дэвид Киршнер, Майк Медэвой, Арнольд Мессер, Корей Сэйнья, Дэвид Твайтс",«12+» - для детей старше 12 лет,,,,,7.3,"драма,мелодрама,биография"
Миссис Хендерсон представляет,121006706,2015-12-30T12:00:00.000Z,Художественный,"БиБиСи Филмз, Фьючер Филмз, Хейман-Хоскинс Продакшнз, Микро Фьюжн, Патэ Пикчерз Интернэшнл",Великобритания,Стивен Фрирз,"Норма Хейман, Боб Хоскинс",«16+» - для детей старше 16 лет,,,,,7.0,"драма,комедия,военный"
Планета КА-ПЭКС /По мотивам романа Джин Бруэр/,221009314,2014-03-03T12:00:00.000Z,Художественный,"Интермедиа Филмз, Юниверсал Пикчерз, Лоуренс Гордон Продакшнз",США - Германия,Йэн Софтли,"Лоуренс Гордон, Роберт Коулсберри, Ллойд Левин",«12+» - для детей старше 12 лет,,,,,8.0,"фантастика,драма,детектив"
Молчи в тряпочку,221012015,2015-04-03T12:00:00.000Z,Художественный,"Саммит Интертейнмент, Айл оф Мэн Филм, Эйзур Филмз, Таск Продакшнз",Великобритания,Найл Джонсон,"Мэтью Пэйн, Джулия Пэло",«18+» - запрещено для детей,,,,,7.1,"комедия,криминал"
Мужики!..,111007213,2013-10-18T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,И.Бабич,,«6+» - для детей старше 6 лет,,,,,8.1,драма
"Автомобиль, скрипка и собака Клякса",111010313,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Р.Быков,,«0+» - для любой зрительской аудитории,,,,,7.2,"мюзикл,семейный"
Алекс и Эмма,221005015,2015-02-25T12:00:00.000Z,Художественный,"Эскейп Артистс, Франчайз Пикчерз, Рейнер-Грэйсман, Уорнер Бразерс",США,Роб Райнер,"Тодд Блэк, Элан Грейсман, Джереми Левен, Роб Райнер, Эли Самаха",«16+» - для детей старше 16 лет,,,,,6.4,"мелодрама,комедия"
Алекс и Эмма,221004616,2016-02-09T12:00:00.000Z,Художественный,"Эскейп Артистс, Франчайз Пикчерз, Рейнер-Грэйсман, Уорнер Бразерс",США,Роб Райнер,"Тодд Блэк, Элан Грейсман, Джереми Левен, Роб Райнер, Эли Самаха",«16+» - для детей старше 16 лет,,,,,6.4,"мелодрама,комедия"
Мой лучший любовник,121019205,2013-10-21T12:00:00.000Z,Художественный,"Прайм Филм Продакшнс ЛЛСи, Стратус Филм Ко., Тим Тодд, Юниверсал Пикчерз, Йангер Зен Ю",США,Бен Янгер,"Дженнифер Тодд, Сюзанн Тодд, Брэдли Дженкел, Энтони Катагас",«12+» - для детей старше 12 лет,,,,,6.8,"драма,мелодрама,комедия"
Мемуары гейши (по роману Артура Голдена),121000606,2012-12-14T12:00:00.000Z,Художественный,"Коламбия Пикчерз Корпорейшн, ДримУоркс ЭсКейДжи, Спайгласс Интертейнмент, Эмблин Интертейнмент, Рэд Вэгон Продакшнс",США,Роб Маршалл,"Стивен Спилберг, Люси Фишер, Дуглас Уик, Джон Де Люка, Гэри Барбер, Роджер Бирнбаум",«12+» - для детей старше 12 лет,,,,,,
Адъютант его превосходительства,211044013,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Е.Ташков,,«6+» - для детей старше 6 лет,,,,,8.2,"военный,приключения,драма"
Без свидетелей,111011313,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Н.Михалков,,«12+» - для детей старше 12 лет,,,,,7.1,драма
Без солнца,111006415,2015-04-23T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Ю.Карасик,,«12+» - для детей старше 12 лет,,,,,7.4,"документальный,драма"
Андрей Рублев.,111029814,2014-12-24T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,А.Тарковский,,«12+» - для детей старше 12 лет,,,,,8.2,"драма,биография,история"
Азартные игры,221058014,2014-10-15T12:00:00.000Z,Художественный,"Мирамакс, Дименшн Филмс",США,Джон Франкенхаймер,,«16+» - для детей старше 16 лет,,,,,7.0,"боевик,триллер,драма"
"36, Набережная Орфевр",121004205,2012-10-31T12:00:00.000Z,Художественный,"ЭлДжиЭм Продюксьон, Гомон",Франция,Оливье Маршал,"Франк Шоро, Сирил Кольбьё-Жюстен, Жан-Баптист Дюпон",«16+» - для детей старше 16 лет,,,,,7.5,"боевик,триллер,драма"
Асса,111005815,2015-04-23T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,С.Соловьев,,«16+» - для детей старше 16 лет,,,,,6.0,"фэнтези,боевик"
Бандитки.,221015415,2015-04-20T12:00:00.000Z,Художественный,"Европа Корп., ТФ 1 Фильм Продюксьон",Франция - Мексика - США,"Иоахим Реннинг, Эспен Сандберг","Люк Бессон, Ариель Зейтун",«12+» - для детей старше 12 лет,,,,,6.7,"боевик,комедия,криминал"
Айболит - 66,111010513,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Ролан Быков,,«0+» - для любой зрительской аудитории,,,,,7.1,"мюзикл,комедия,детский"
Алешкина любовь,111010813,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Семен Туманов,,«12+» - для детей старше 12 лет,,,,,8.1,"драма,мелодрама,комедия"
50 первых поцелуев,221004416,2016-02-09T12:00:00.000Z,Художественный,"Коламбиа Пикчерз, Хэппи Медисон Продакшнз, Флаоу Филмз, Анонимоус Контент",США,Питер Сигал,"Бини Барнс, Джозеф Дрэйк, Джон Линсон",«18+» - запрещено для детей,,,,,7.3,"комедия,мелодрама,драма"
Адмирал Ушаков,111010413,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,М.Ромм,,«6+» - для детей старше 6 лет,,,,,7.9,"драма,биография,история"
А был ли Каротин?,111029514,2014-12-24T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Г.Полока,,«12+» - для детей старше 12 лет,,,,,6.8,"комедия,криминал"
А если это любовь?,111010213,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Ю.Райзман,,«12+» - для детей старше 12 лет,,,,,7.7,драма
Бесшабашное ограбление,221072814,2014-12-29T12:00:00.000Z,Художественный,"Нью Маркет, Саммит Интертейнмент, Рэйвинг Мэд Продакшнз",США,"Дрю Дэйуолт, Дэвид Шнейдер","Джон Балдеччи, Лоуренс Бендер, Кристофер Болл",«18+» - запрещено для детей,,,,,7.1,"боевик,комедия,криминал"
Бешеное золото,111011613,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,С.Самсонов,,«12+» - для детей старше 12 лет,,,,,6.3,"комедия,криминал"
Братец медвежонок /По одноименному произведению Лорны Кемерун/,224029312,2012-11-19T12:00:00.000Z,Анимационный,"Уолт Дисней Пикчерз, Буена Виста Интернэшнл",США,"Айрон Блейз, Роберт Уокер",Чак Уильямс,«0+» - для любой зрительской аудитории,,,,,7.9,"мультфильм,фэнтези,комедия"
Американская дочь,111005515,2015-04-23T12:00:00.000Z,Художественный,"АО ""Караван"", Компания ""Америкен Дистрибьюшн"", Роскомкино, киностудия ""Курьер"" киноконцерна ""Мосфильм""","Россия, Казахстан, США",К.Шахназаров,,«6+» - для детей старше 6 лет,,,,,7.0,"драма,комедия"
Беспредел _,111006515,2015-04-23T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм"" , Студия ""Ритм""",СССР,И.Гостев,,«16+» - для детей старше 16 лет,,,,,7.8,"драма,криминал"
Бешеные деньги.,111011713,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Е.Матвеев,,«6+» - для детей старше 6 лет,,,,,7.3,"комедия,история"
Аттестат зрелости,111005915,2015-04-23T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Т.Лукашевич,,«12+» - для детей старше 12 лет,,,,,6.9,драма
Бархатный сезон,111011113,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм"", ""Про Дис Фильм"" АГ Цюрих (Швеция)","СССР, Швеция",В.Павлович,,«6+» - для детей старше 6 лет,,,,,5.9,мелодрама
Анна Павлова,111011013,2013-12-19T12:00:00.000Z,Художественный,"совместное производство Киностудия ""Мосфильм"", ""Космос-филм"" (Франция), ""Посейдон Продакшинз Лимитед"" (Англия), ""ИКАИК"" (Куба), ДЕФА (ГДР)","СССР, Франция, Англия, Куба, ГДР",Эмиль Лотяну,,«6+» - для детей старше 6 лет,,,,,7.7,"драма,биография,музыка"
Босиком по мостовой,221005215,2015-02-25T12:00:00.000Z,Художественный,"Буена Виста Интернэшнл Филм Продакшн, Фильмштифтунг Северный Рейн-Вестфалия, Мистер Браун Интертейнмент, Бэрфут Филмс",Германия,Тиль Швайгер,Тиль Швайгер,«16+» - для детей старше 16 лет,,,,,7.9,"драма,мелодрама,комедия"
Алые паруса,111010913,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,А.Птушко,,«6+» - для детей старше 6 лет,,,,,7.8,"фэнтези,драма,мелодрама"
"Аэлита, не приставай к мужчинам",111006015,2015-04-23T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Г.Натансон,,«12+» - для детей старше 12 лет,,,,,6.6,"мелодрама,комедия"
Бой после победы,111011813,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,В.Азаров,,«6+» - для детей старше 6 лет,,,,,7.0,"триллер,военный"
Братья Карамазовы,111012313,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,"И.Пырьев, М.Ульянов, К.Лавров",,«6+» - для детей старше 6 лет,,,,,8.1,драма
Белая графиня,121006606,2015-12-15T12:00:00.000Z,Художественный,"Мерчант Айвори Продакшнз, Микадо Филмз, Шанхай Филмз Студиос, ВиАйПи 3 Медиефондс",Великобритания-США-Германия-КНР,Джеймс Айвори,Исмаил Мерчант,«12+» - для детей старше 12 лет,,,,,6.8,"драма,мелодрама,военный"
В шесть часов вечера после войны,111006715,2015-04-23T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,И.Пырьев,,«6+» - для детей старше 6 лет,,,,,7.2,"мюзикл,драма,мелодрама"
Борец и клоун,111012013,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,"К.Юдин, Б.Барнет",,«6+» - для детей старше 6 лет,,,,,7.1,"драма,спорт"
Борис Годунов,111012213,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм"",  ""Баррандов"" (ЧССР) при участии ""Альянс Фильмопродукцион ГМБХ"" (Западный Берлин) ""Зесполы фильмове"" (ПНР)","СССР, ЧССР, Западный Берлин, ПНР",С.Бондарчук,,«6+» - для детей старше 6 лет,,,,,6.2,драма
Большой аттракцион,111011913,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,В.Георгиев,,«0+» - для любой зрительской аудитории,,,,,5.6,"мюзикл,комедия"
Битва в пути,111026014,2014-12-24T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,В.Басов,,«12+» - для детей старше 12 лет,,,,,6.9,драма
Будьте моим мужем,111012413,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,А.Сурикова,,«6+» - для детей старше 6 лет,,,,,6.4,комедия
Букашки 3D,126003116,2016-07-01T12:00:00.000Z,Прочие,"Принципал Лардж Формат, Си Кей Филмз, Филм Коунсил, Филм Консорциум, Пэ Эл Си Ю Ка Филм энд Продакшнз Компани",Великобритания,Майк Слии,"Фил Срэйзер, Александра Фергюсон",«0+» - для любой зрительской аудитории,,,,,7.1,"мультфильм,приключения,семейный"
Вирус любви,221058214,2014-10-15T12:00:00.000Z,Художественный,"Мирамакс, Игнит Интертейнмент, Морфеус Продакшн",США,Томми О'Хавер,"Майкл Бёрнс, Марк Бутан",«16+» - для детей старше 16 лет,,,,,6.6,"мелодрама,комедия"
Високосный год,111013113,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,А.Эфрос,,«12+» - для детей старше 12 лет,,,,,5.8,"драма,мелодрама"
Вакансия,111012513,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,М.Микаэлян,,«6+» - для детей старше 6 лет,,,,,6.5,"ужасы,триллер"
Берегите мужчин!,111011513,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,А.Серый,,«12+» - для детей старше 12 лет,,,,,6.2,комедия
Блондинка и блондинка,221020115,2015-05-25T12:00:00.000Z,Художественный,Ригел Интертейнмент,США,Дин Хэмилтон,"Джефри Бармаш, Кирк Шоу",«16+» - для детей старше 16 лет,,,,,2.4,"комедия,криминал"
Валентин и Валентина,111012613,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Г.Натансон,,«6+» - для детей старше 6 лет,,,,,7.3,"драма,мелодрама"
Валентина,111012713,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Г.Панфилов,,«6+» - для детей старше 6 лет,,,,,7.5,драма
Взрослые дети.,111013013,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,В.Азаров,,«6+» - для детей старше 6 лет,,,,,7.8,"драма,комедия"
Ватерлоо,111003014,2014-03-14T12:00:00.000Z,Художественный,"""Дино де Лаурентиис"" (Италия) при участии Киностудии ""Мосфильм""","СССР, Италия",Сергей Бондарчук,,«6+» - для детей старше 6 лет,,,,,7.7,"боевик,драма,военный"
Выстрел.,111013613,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Н.Трахтенберг,,«12+» - для детей старше 12 лет,,,,,7.4,"триллер,драма,криминал"
Возмездие_,111013213,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,А.Столпер,,«6+» - для детей старше 6 лет,,,,,6.7,"драма,боевик"
"Время, вперед!",111013513,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,"М.Швейцер, С.Милькина",,«6+» - для детей старше 6 лет,,,,,7.2,"драма,история"
Вас ожидает гражданка Никанорова,111012813,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Л.Марягин,,«12+» - для детей старше 12 лет,,,,,7.3,"драма,мелодрама,комедия"
Васса,111012913,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Г.Панфилов,,«6+» - для детей старше 6 лет,,,,,7.9,драма
Вольт,224029412,2012-11-19T12:00:00.000Z,Анимационный,"Уолт Дисней Анимейшн Студиос, Уолт Дисней Пикчерз",США,"Крис Уильямс, Байрон Ховард",Кларк Спенсер,«0+» - для любой зрительской аудитории,,,,,7.3,"мультфильм,драма,комедия"
Горбатая гора,121004106,2013-12-02T12:00:00.000Z,Художественный,"Альберта Филмуоркс Инк., Фокус Фичерз, Гуд Мэшин, Парамаунт Пикчерз, Ривер Роад Интертейнмент",США,Энг Ли,"Диана Оссана, Джеймс Шеймас, Ларри МакМертри, Скотт Фергюсон",«16+» - для детей старше 16 лет,,,,,7.6,"драма,мелодрама"
Дамы приглашают кавалеров,111010414,2014-10-01T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,И.Киасашвили,,«12+» - для детей старше 12 лет,,,,,7.2,"мелодрама,комедия"
Возвращение Василия Бортникова,111007315,2015-04-23T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,В.Пудовкин,,«12+» - для детей старше 12 лет,,,,,5.8,драма
Встречное расследование,221048514,2014-10-09T12:00:00.000Z,Художественный,Патэ Ренн Продюксьон,Франция,Франк Манкузо,"Патрик Жимене, Эрик Хьюберт",«16+» - для детей старше 16 лет,,,,,6.9,"триллер,криминал"
Во имя чести,121013416,2016-05-30T12:00:00.000Z,Художественный,"Чайна Филм Ко-Продакшн Корпорейшн, Хуай Бразерс, ЭмКей Пикчерз, Шанхай Филм Груп","Гонконг, КНР",Фэн Сяоган,"Фэн Сяоган, Джон Чонг",«16+» - для детей старше 16 лет,,,,,7.4,"военный,биография,драма"
Время желаний,111013313,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Ю.Райзман,,«12+» - для детей старше 12 лет,,,,,7.3,"драма,мелодрама"
Горе от ума.,111000915,2015-02-05T12:00:00.000Z,Художественный,Киностудия им. М.Горького,СССР,"С.Алексеев, В.Войтецкий",,«6+» - для детей старше 6 лет,,,,,6.0,драма
Враг государства № 1,221065614,2014-10-07T12:00:00.000Z,Художественный,Реин Сейлес,Франция,Жан Франсуа Рише,"Дэниел Дэлюм, Тома Лангманн",«18+» - запрещено для детей,,,,,7.3,"триллер,драма,криминал"
Враг государства № 1: Легенда,221017016,2016-03-21T12:00:00.000Z,Художественный,Реин Сейлес,Франция,Жан Франсуа Рише,"Дэниел Дэлюм, Тома Лангманн",«18+» - запрещено для детей,,,,,7.4,"боевик,триллер,драма"
"Гори, гори, моя звезда",111013713,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,А.Митта,,«12+» - для детей старше 12 лет,,,,,8.0,"драма,мелодрама,комедия"
"Внимание, черепаха!",111005513,2013-10-18T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Р.Быков,,«0+» - для любой зрительской аудитории,,,,,7.7,"комедия,семейный"
Встреча на Эльбе,111007515,2015-04-23T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Г.Александров,,«12+» - для детей старше 12 лет,,,,,6.1,военный
Волшебная страна,221004716,2016-02-09T12:00:00.000Z,Художественный,Филм Колони,США,Марк Форстер,Ричард Н.Глэдстин,«12+» - для детей старше 12 лет,,,,,7.9,"драма,семейный,биография"
Гранатовый браслет,111013913,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,А.Роом,,«6+» - для детей старше 6 лет,,,,,6.9,"драма,мелодрама"
